,Name,City,Price,Star_Rating,Property_Demand,Property_id,Customers_Rating,Customers_Review,Type_of_room,reservations_Payment,Canelation,Max_persons,Bed_type,Tax,Review_title,Credit_card,Breakfst_included,Longitude_x,Latitude_y,Link
27,Frontel Al Harithia Hotel," Central Madinah, Al Madinah",SAR 550,5,Only 7 rooms like this left on our site,294033,8.1, 788 reviews ,Superior Twin Room,null,null,Max persons: 2,"2 beds
(2 singles)", +SAR 56 taxes and charges  , Very good ,null,null,39.6088993549347,24.4721455547334,https://www.booking.com/hotel/sa/western-alharithia-madina.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=29403328_94398643_0_34_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=28&highlighted_blocks=29403328_94398643_0_34_0&hpos=3&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=29403328_94398643_0_34_0__55000&srepoch=1587182843&srpvid=597e1cfd2ca2008e&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
28,Al Rawasi Hotel Suites," Al Rawda, Jeddah",SAR 550,5,null,1136597,8.2, 384 reviews ,Deluxe King Studio City View  ,null,FREE cancellation,Max persons: 2,"1 bed
(1 large double)", +SAR 56 taxes and charges  , Very good ,null,null,39.150032937232,21.5680998252146,https://www.booking.com/hotel/sa/alrawasi-suites.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=113659708_117917571_0_1_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=29&highlighted_blocks=113659708_117917571_0_1_0&hpos=4&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=113659708_117917571_0_1_0__55000&srepoch=1587182843&srpvid=597e1cfd2ca2008e&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
29,InterContinental Riyadh, Riyadh,SAR 555,5,Only 6 rooms like this left on our site,79962,8, 496 reviews ,Standard Room,No prepayment needed,FREE cancellation,Max persons: 2,"1 bed
(1 double)", +SAR 57 taxes and charges  , Very good ,null,null,46.6912615299225,24.6665476426845,https://www.booking.com/hotel/sa/intercontinental-riyadh.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=7996205_246109568_0_42_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=30&highlighted_blocks=7996205_246109568_0_42_0&hpos=5&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=7996205_246109568_0_42_0__55500&srepoch=1587182843&srpvid=597e1cfd2ca2008e&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
30,voco - Riyadh, Riyadh,SAR 556,5,Only 1 room left like this on our site,1508055,8.5, 530 reviews ,Superior Twin Room - Smoking,No prepayment needed,FREE cancellation,Max persons: 2,null, +SAR 57 taxes and charges  , Very good ,null,null,46.696358,24.666184,https://www.booking.com/hotel/sa/movenpick-riyadh.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=150805529_251358014_2_42_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=31&highlighted_blocks=150805529_251358014_2_42_0&hpos=6&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=150805529_251358014_2_42_0__55575&srepoch=1587182843&srpvid=597e1cfd2ca2008e&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
31,Le Meridien Al Khobar, Al Khobar,SAR 567,5,Only 5 rooms like this left on our site,246619,8.6," 1,733 reviews ","Deluxe Room Twin, Guest room, 2 Twin/Single Bed(s), Sea view",null,FREE cancellation,Max persons: 2,null, +SAR 58 taxes and charges  , Fabulous ,null,null,50.2236342430115,26.3016772609841,https://www.booking.com/hotel/sa/le-meridien-al-khobar.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=24661917_251393997_0_42_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=32&highlighted_blocks=24661917_251393997_0_42_0&hpos=7&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=24661917_251393997_0_42_0__56700&srepoch=1587182843&srpvid=597e1cfd2ca2008e&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
32,Crowne Plaza Riyadh - RDC Hotel & Convention, Riyadh,SAR 584,5,Only 6 rooms like this left on our site,2570643,8.7, 628 reviews ,Deluxe Room with Two Beds - Smoking,No prepayment needed,FREE cancellation,Max persons: 2,"2 beds
(2 singles)", +SAR 60 taxes and charges  , Fabulous ,null,null,46.639589,24.742907,https://www.booking.com/hotel/sa/crowne-plaza-riyadh-rdc-convention.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=257064321_251357732_0_42_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=33&highlighted_blocks=257064321_251357732_0_42_0&hpos=8&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=257064321_251357732_0_42_0__58425&srepoch=1587182843&srpvid=597e1cfd2ca2008e&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
33,Le Meridien Jeddah," Al Rawda, Jeddah",SAR 616,5,Only 5 rooms like this left on our site,185125,8, 903 reviews ,"Standard Room Twin, Guest room,  Twin/Single Bed(s)",null,FREE cancellation,Max persons: 2,"1 bed
(1 extra-large double)", +SAR 63 taxes and charges  , Very good ,null,null,39.1719621419907,21.5589863827365,https://www.booking.com/hotel/sa/le-meridien-jeddah.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=18512511_251369388_0_10_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=34&highlighted_blocks=18512511_251369388_0_10_0&hpos=9&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=18512511_251369388_0_10_0__61625&srepoch=1587182843&srpvid=597e1cfd2ca2008e&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
34,Mövenpick Hotel Al Khobar," Al Yarmouk, Al Khobar",SAR 620,5,Only 7 rooms like this left on our site,74782,8.5," 1,058 reviews ",Deluxe Twin Room,No prepayment needed,FREE cancellation,Max persons: 2,"2 beds
(2 singles)", +SAR 64 taxes and charges  , Very good ,null,null,50.216769,26.322323,https://www.booking.com/hotel/sa/movenpick-al-khobar.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=7478222_244693046_2_42_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=35&highlighted_blocks=7478222_244693046_2_42_0&hpos=10&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=7478222_244693046_2_42_0__62000&srepoch=1587182843&srpvid=597e1cfd2ca2008e&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
35,Alreem Village Hotel, Al Jubail,SAR 650,5,null,2228560,8.7, 180 reviews ,Standard Double Room,No prepayment needed,FREE cancellation,Max persons: 2,"1 bed
(1 extra-large double)", +SAR 65 taxes and charges  , Fabulous ,null,Breakfast included,49.6351307630539,26.9946494955012,https://www.booking.com/hotel/sa/alreem-al-jubail.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=222856001_243150426_0_1_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=36&highlighted_blocks=222856001_243150426_0_1_0&hpos=11&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=222856001_243150426_0_1_0__65000&srepoch=1587182843&srpvid=597e1cfd2ca2008e&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
36,Mövenpick Hotel Tahlia Jeddah," Al Andalus, Jeddah",SAR 655,5,Only 7 rooms like this left on our site,3836381,8.7, 556 reviews ,Classic King Room,No prepayment needed,FREE cancellation,Max persons: 2,"1 bed
(1 extra-large double)", +SAR 67 taxes and charges  , Fabulous ,null,Breakfast included,39.1567064996834,21.5472946119312,https://www.booking.com/hotel/sa/movenpick-tahlia.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=383638113_246102097_2_1_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=37&highlighted_blocks=383638113_246102097_2_1_0&hpos=12&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=383638113_246102097_2_1_0__65500&srepoch=1587182843&srpvid=597e1cfd2ca2008e&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
37,The Venue Jeddah Corniche," Al Shatiea, Jeddah",SAR 689,5,null,245490,7.9," 1,606 reviews ",Classic King Room with City View City Tower,null,null,Max persons: 2,"1 bed
(1 large double)", +SAR 71 taxes and charges  , Good ,null,null,39.108259677887,21.6018266298165,https://www.booking.com/hotel/sa/sofitel-jeddah-corniche.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=24549013_94363221_0_42_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=38&highlighted_blocks=24549013_94363221_0_42_0&hpos=13&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=24549013_94363221_0_42_0__68850&srepoch=1587182843&srpvid=597e1cfd2ca2008e&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
38,Durrat Al Riyadh Resort & Spa, Riyadh,SAR 700,5,null,2044421,7.6," 1,859 reviews ",Superior King with Balcony City View,No prepayment needed,FREE cancellation,Max persons: 2,"1 bed
(1 large double)", +SAR 72 taxes and charges  , Good ,null,null,46.5108733187662,25.0011022311378,https://www.booking.com/hotel/sa/al-faisaliah-resorts-amp-spa.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=204442113_238024965_0_42_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=39&highlighted_blocks=204442113_238024965_0_42_0&hpos=14&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=204442113_238024965_0_42_0__70000&srepoch=1587182843&srpvid=597e1cfd2ca2008e&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
39,Kempinski Al Othman Hotel Al Khobar, Al Khobar,SAR 709,5,null,1881270,8.5," 2,708 reviews ",Deluxe King Room,No prepayment needed,FREE cancellation,Max persons: 2,"1 bed
(1 extra-large double)", +SAR 73 taxes and charges  , Very good ,null,null,50.1781771236481,26.3671325452871,https://www.booking.com/hotel/sa/kempinski-al-othman-alkhobar.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=188127002_193931428_2_34_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=40&highlighted_blocks=188127002_193931428_2_34_0&hpos=15&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=188127002_193931428_2_34_0__70900&srepoch=1587182843&srpvid=597e1cfd2ca2008e&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
40,Abha Palace Hotel, Abha,SAR 727,5,null,345463,7.2," 1,355 reviews ",Superior Double Room with Mountain View,No prepayment needed,FREE cancellation,Max persons: 2,"1 bed
(1 large double)", +SAR 73 taxes and charges  , Good ,null,Breakfast included,42.4830043315887,18.2101898282673,https://www.booking.com/hotel/sa/abha-palace.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=34546301_240596489_2_41_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=41&highlighted_blocks=34546301_240596489_2_41_0&hpos=16&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=34546301_240596489_2_41_0__72727&srepoch=1587182843&srpvid=597e1cfd2ca2008e&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
41,Sheraton Jeddah Hotel," Al Shatiea, Jeddah",SAR 750,5,Only 5 rooms like this left on our site,44388,7.2," 1,539 reviews ","Standard Room, Guest room, Queen, City view, Side Wing",No prepayment needed,FREE cancellation,Max persons: 2,"1 bed
(1 large double)", +SAR 75 taxes and charges  , Good ,null,null,39.1080370545387,21.614375004895,https://www.booking.com/hotel/sa/sheraton-jeddah-hotels-resorts.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=4438814_127963759_0_42_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=42&highlighted_blocks=4438814_127963759_0_42_0&hpos=17&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=4438814_127963759_0_42_0__75000&srepoch=1587182843&srpvid=597e1cfd2ca2008e&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
42,Sunset Beach Resort Marina & Spa, Al Khobar,SAR 750,5,Only 4 rooms like this left on our site,3541372,7.9, 458 reviews ,Deluxe Double Room - Beach Front,null,FREE cancellation,Max persons: 2,"1 bed
(1 extra-large double)", +SAR 38 taxes and charges  , Good ,null,null,50.192259,26.157037,https://www.booking.com/hotel/sa/sunset-beach-resort-marina-amp-spa-al-khobar.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=354137202_199298575_2_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=43&highlighted_blocks=354137202_199298575_2_0_0&hpos=18&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=354137202_199298575_2_0_0__75000&srepoch=1587182843&srpvid=597e1cfd2ca2008e&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
43,Makarem Ajyad Makkah Hotel," Ajyad, Makkah",SAR 775,5,null,247346,7.6," 1,058 reviews ",Standard King Room,null,FREE cancellation,Max persons: 2,"1 bed
(1 extra-large double)", +SAR 79 taxes and charges  , Good ,null,null,39.8282584547997,21.4170601671044,https://www.booking.com/hotel/sa/ajyad-makkah-makarim.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=24734620_95197879_0_42_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=44&highlighted_blocks=24734620_95197879_0_42_0&hpos=19&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=24734620_95197879_0_42_0__77500&srepoch=1587182843&srpvid=597e1cfd2ca2008e&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
44,Bayat Hotel By Cristal, Khamis Mushayt,SAR 800,5,null,2449244,8.3, 679 reviews ,Ruby,null,FREE cancellation,Max persons: 2,"1 bed
(1 extra-large double)", +SAR 80 taxes and charges  , Very good ,null,null,42.7259266376495,18.2877222000366,https://www.booking.com/hotel/sa/bayat-by-cristal.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=244924401_198605063_0_2_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=45&highlighted_blocks=244924401_198605063_0_2_0&hpos=20&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=244924401_198605063_0_2_0__80000&srepoch=1587182843&srpvid=597e1cfd2ca2008e&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
45,Sheraton Makkah Jabal Al Kaaba Hotel, Makkah,SAR 800,5,Only 5 rooms like this left on our site,2718655,7.8," 1,497 reviews ","Traditional King City Vie, Guest room, 1 King, City view",null,FREE cancellation,Max persons: 2,"1 bed
(1 extra-large double)", +SAR 82 taxes and charges  , Good ,null,null,39.819497,21.426273,https://www.booking.com/hotel/sa/sheraton-makkah-jabal-al-kaaba.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=271865515_251401556_0_2_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=46&highlighted_blocks=271865515_251401556_0_2_0&hpos=21&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=271865515_251401556_0_2_0__80000&srepoch=1587182843&srpvid=597e1cfd2ca2008e&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
46,"Radisson Blu Hotel & Residence, Riyadh Diplomatic Quarter"," Diplomatic Quarter, Riyadh",SAR 806,5,null,4597412,8.7, 152 reviews ,Standard Room,null,null,Max persons: 2,"1 bed
(1 extra-large double)", +SAR 83 taxes and charges  , Fabulous ,null,null,46.625375,24.68442,https://www.booking.com/hotel/sa/radisson-blu-residence-riyadh-diplomatic-quarters.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=459741201_256656340_2_42_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=47&highlighted_blocks=459741201_256656340_2_42_0&hpos=22&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=459741201_256656340_2_42_0__80550&srepoch=1587182843&srpvid=597e1cfd2ca2008e&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
47,Marriott Riyadh Diplomatic Quarter," Diplomatic Quarter, Riyadh",SAR 850,5,Only 4 rooms like this left on our site,4569947,8.7, 106 reviews ,"Deluxe Room, Guest room, 2 Double",No prepayment needed,FREE cancellation,Max persons: 3,"1 bed
(1 extra-large double)", +SAR 87 taxes and charges  , Fabulous ,null,null,46.623472,24.674269,https://www.booking.com/hotel/sa/marriott-riyadh-diplomatic-quarter.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=456994702_246436060_0_42_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=48&highlighted_blocks=456994702_246436060_0_42_0&hpos=23&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=456994702_246436060_0_42_0__85000&srepoch=1587182843&srpvid=597e1cfd2ca2008e&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
48,Casablanca Grand Hotel, Jeddah,SAR 850,5,null,1994018,8.9," 2,572 reviews ",Twin Room,null,FREE cancellation,Max persons: 2,"2 beds
(2 singles)", +SAR 87 taxes and charges  , Fabulous ,null,null,39.1508102416992,21.6325372977989,https://www.booking.com/hotel/sa/casablanca-grand.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=199401813_199356661_0_42_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=49&highlighted_blocks=199401813_199356661_0_42_0&hpos=24&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=199401813_199356661_0_42_0__85000&srepoch=1587182843&srpvid=597e1cfd2ca2008e&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
49,Mövenpick Hotel Qassim, Buraydah,SAR 860,5,Only 7 rooms like this left on our site,183803,8.8, 610 reviews ,Deluxe Twin Room,No prepayment needed,FREE cancellation,Max persons: 3,"2 beds
(2 singles)", +SAR 88 taxes and charges  , Fabulous ,null,null,43.9682346582413,26.3580545567432,https://www.booking.com/hotel/sa/movenpick-qassim.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=18380326_244914087_3_42_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=50&highlighted_blocks=18380326_244914087_3_42_0&hpos=25&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=18380326_244914087_3_42_0__86000&srepoch=1587182843&srpvid=597e1cfd2ca2008e&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
50,Al Shohada Hotel," Ajyad, Makkah",SAR 880,5,null,244308,7.2," 1,051 reviews ",Twin Room,No prepayment needed,FREE cancellation,Max persons: 2,"2 beds
(2 singles)", +SAR 90 taxes and charges  , Good ,null,null,39.8278883099556,21.4147891326939,https://www.booking.com/hotel/sa/al-shohada.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=24430801_235192640_0_40_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=51&highlighted_blocks=24430801_235192640_0_40_0&hpos=1&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=24430801_235192640_0_40_0__88000&srepoch=1587182853&srpvid=597e1d022bde0098&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl
